名稱,代號,2024配息率,2023配息率,2022配息率,2021配息率,平均配息率,23Q1營收,23Q1EPS,23Q2營收,23Q2EPS,23Q3營收,23Q3EPS,23Q4營收,23Q4EPS,2023EPS,股價,24Q1營收,24Q1EPS,24Q2營收,24Q2EPS,24Q3營收,24Q3EPS,10月營收,11月營收,12月營收
耿鼎,"=""1524""",61.0,49.0,78.9,100.0,72.225,5.74,0.26,6.7,0.49,6.95,0.83,7.59,0.55,2.13,37.15,7.22,1.02,6.4,0.63,7.35,0.69,2.67,2.98,3.54
江申,"=""1525""",60.0,57.1,50.2,49.9,54.3,4.55,2.63,4.25,0.8,3.6,1.11,3.59,0.96,5.5,58.0,3.09,0.66,3.76,0.98,4.03,1.09,1.14,1.24,1.33
日馳,"=""1526""",0.0,53.6,55.9,60.6,42.525,3.48,0.76,2.73,0.4,2.32,0.09,1.43,-0.48,0.76,22.7,1.72,-0.06,2.12,0.09,1.6,-0.51,0.47,0.79,0.51
鑽全,"=""1527""",74.9,44.8,71.2,79.9,67.7,8.01,0.63,6.2,0.64,7,1.1,6.63,0.31,2.67,41.7,8.01,1.1,7.55,0.92,8.36,0.85,2.6,2.76,2.02
恩德,"=""1528""",-125.0,12.3,8.77,-16.4,-30.082500000000003,9.32,0.07,9.52,0.1,9.26,0.08,10.7,-0.34,-0.08,13.75,7.7,-0.27,9.76,0.05,9.54,-0.34,3.99,3.03,2.84
樂事綠能,"=""1529""",33.0,80.6,19.4,76.9,52.475,1.72,0.32,1.22,0.54,2.38,-0.28,2.21,0.34,0.91,22.4,1.46,-0.11,2.07,0.26,1.52,-0.06,0.88,0.53,0.5
亞崴,"=""1530""",68.8,43.6,111.0,63.8,71.8,5.39,0.15,6.59,0.26,6.61,1.63,5.03,0.14,2.18,30.0,3.63,0.18,4.58,0.49,5.7,0.59,1.37,1.59,2.31
高林股,"=""1531""",250.0,78.4,74.5,-67.2,83.925,3.33,-0.14,4.08,-0.09,3.6,0.46,3.19,-0.16,0.08,13.55,3.71,0.07,4.39,0.12,4.31,0.06,1.28,1.06,1.62
勤美,"=""1532""",56.0,56.1,65.5,70.1,61.925,28.7,-0.06,46.6,0.86,54.5,1.02,46.4,0.76,2.56,30.05,48.3,1.34,67.3,2.29,34.2,0.08,9.44,10.36,11.0
車王電,"=""1533""",0.0,0.0,34.1,0.0,8.525,9.24,-0.48,11.0,-0.43,10.5,0.05,9.3,-0.45,-1.31,38.9,7.31,-0.72,6.57,-0.52,5.77,-0.6,4.97,2.87,5.96
中宇,"=""1535""",73.3,71.3,79.8,84.4,77.19999999999999,20.1,0.93,24.9,1.17,22,0.96,30.6,1.44,4.5,60.3,26,0.97,26.2,0.98,25.9,0.92,7.72,10.06,12.66
和大,"=""1536""",61.0,71.7,111.0,98.2,85.475,17.1,0.3,17.8,0.77,15.6,0.4,15.4,-0.3,1.17,59.9,14.9,0.32,16.5,0.15,14.6,-0.3,4.28,4.21,3.35
廣隆,"=""1537""",94.2,92.9,92.3,93.0,93.1,14.3,1.48,16.1,2.06,16.2,2.21,17.5,1.68,7.43,151.5,17.4,2.54,21.1,3.29,22,3.39,7.39,6.7,6.7
正峰,"=""1538""",0.0,0.0,0.0,0.0,0.0,0.53,-0.36,0.56,0.26,0.5,-0.6,0.36,-0.06,-0.64,28.0,0.18,-0.36,0.28,-0.25,0.29,-0.39,0.12,0.09,0.16
巨庭,"=""1539""",62.5,41.7,59.3,0.0,40.875,2.54,-0.05,4.51,0.41,3.96,0.58,4.32,0.03,0.96,22.35,3.84,0.64,3.21,0.41,3.4,0.03,1.29,0.65,1.0
喬福,"=""1540""",84.6,47.2,-750.0,-208.0,-206.55,1.18,0.14,1.43,0.54,1.15,0.39,1.99,0.22,1.3,31.1,1.27,0.66,2.02,0.82,0.96,0.13,0.18,0.37,0.28
錩泰,"=""1541""",34.2,29.0,65.8,51.8,45.2,5.87,0.4,9.51,-0.36,7.5,0.94,10.9,0.49,1.46,26.0,7.21,0.76,8.12,0.39,7.16,-0.21,2.22,2.91,2.26
伸興,"=""1558""",99.7,68.5,97.9,69.0,83.775,16.6,0.16,19.1,1.4,21.2,1.68,18.8,0.57,3.81,106.0,18,1.42,20.6,2.06,24.4,2.04,6.37,7.61,6.28
中砂,"=""1560""",67.6,45.9,58.5,77.1,62.275,15.6,1.24,15.8,1.54,16.5,2.02,15.9,1.11,5.91,300.5,16,1.77,17.3,1.75,18.6,1.96,5.94,6.1,6.31
巧新,"=""1563""",62.6,67.5,57.1,177.0,91.05,17.9,0.63,19.2,0.82,18.6,0.71,22.1,0.74,2.88,59.0,19.5,1.17,18.7,0.72,17.2,0.79,6.69,7.05,5.54
精華,"=""1565""",64.6,66.8,79.8,81.2,73.1,11.3,3.23,10.7,2.74,10.5,2.73,11.3,2.12,10.83,191.0,11,3.77,9.96,2.67,12.2,3.9,4.13,3.96,4.2
倉佑,"=""1568""",50.2,67.9,103.0,300.0,130.275,2.53,0.3,3.48,0.52,3.06,2.21,2.86,-0.36,2.67,26.85,3.06,0.77,2.6,0.27,2.42,0.28,0.79,0.85,0.77
濱川,"=""1569""",-105.0,61.9,61.1,43.8,15.45,8.74,-1.11,9.28,0.21,9.76,0.48,8.27,-0.53,-0.95,55.9,6.21,0.02,7.7,-0.64,8.49,-0.99,2.56,2.97,3.1
